;Original;;;;;;
Ano;Decision Tree;Random Forest;Logistic Regression;SVM;KNN;Gradient Boosting;
2;0,5;0,56;0,5;0,62;0,62;0,5;
3;0,25;0,33;0,42;0,5;0,58;0,5;
4;0,54;0,46;0,54;0,69;0,54;0,46;
5;0,62;0,62;0,62;0,54;0,69;0,46;
6;0,69;0,69;0,62;0,77;0,54;0,46;
7;0,54;0,46;0,54;0,46;0,69;0,54;
8;0,31;0,62;0,62;0,69;0,85;0,62;
9;0,38;0,69;0,62;0,46;0,54;0,62;
Media;0,47875;0,55375;0,56;0,59125;0,63125;0,52;0,555833333
;;;;;;;
;;;;;;;
;Feature Selection;;;;;;
Ano;Decision Tree;Random Forest;Logistic Regression;SVM;KNN;Gradient Boosting;
2;0,5;0,5;0,5;0,62;0,62;0,5;
3;0,25;0,33;0,42;0,33;0,42;0,33;
4;0,54;0,46;0,62;0,69;0,69;0,46;
5;0,62;0,69;0,62;0,77;0,69;0,62;
6;0,46;0,46;0,62;0,54;0,62;0,38;
7;0,54;0,62;0,62;0,62;0,77;0,62;
8;0,54;0,62;0,62;0,46;0,62;0,62;
9;0,54;0,69;0,62;0,62;0,46;0,62;
Media;0,49875;0,54625;0,58;0,58125;0,61125;0,51875;0,556041667
;;;;;;;
;;;;;;;
;Feature Engineering;;;;;;
Ano;Decision Tree;Random Forest;Logistic Regression;SVM;KNN;Gradient Boosting;
2;0,56;0,5;0,5;0,44;0,5;0,5;
3;0,58;0,25;0,33;0,33;0,5;0,58;
4;0,62;0,38;0,62;0,38;0,38;0,46;
5;0,62;0,54;0,69;0,62;0,46;0,77;
6;0,31;0,69;0,62;0,69;0,77;0,77;
7;0,62;0,62;0,62;0,54;0,38;0,54;
8;0,69;0,62;0,54;0,77;0,77;0,77;
9;0,23;0,46;0,54;0,46;0,54;0,46;
Media;0,52875;0,5075;0,5575;0,52875;0,5375;0,60625;0,544375
;;;;;;;
;;;;;;;
;Feature Engineering 2;;;;;;
Ano;Decision Tree;Random Forest;Logistic Regression;SVM;KNN;Gradient Boosting;
2;0,5;0,5;0,44;0,62;0,5;0,56;
3;0,42;0,25;0,42;0,5;0,33;0,42;
4;0,77;0,77;0,38;0,77;0,69;0,31;
5;0,62;0,62;0,69;0,32;0,54;0,62;
6;0,69;0,69;0,69;0,54;0,69;0,62;
7;0,62;0,54;0,54;0,62;0,54;0,54;
8;0,62;0,69;0,62;0,62;0,54;0,54;
9;0,23;0,54;0,54;0,54;0,69;0,54;
Media;0,55875;0,575;0,54;0,56625;0,565;0,51875;0,553958333
